sym,name,years_in,sector,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AES,AES Corporation,25,Utilities,35.921190476190475,26.93217741935484,4.038769841269842,4.5927380952380945,7.3025,11.470992063492064,14.093266932270916,15.539083665338644,11.073873517786561,7.896626984126985,8.280436507936509,8.770436507936509,8.76032,9.516031746031747,10.694801587301589,9.214007936507937,9.088253968253968,9.326932270916334,11.234940239043825,15.229563492063491,15.944505928853754,24.263492063492063,23.367968127490037,26.9835
AFL,Aflac,24,Financials,8.421190476190477,9.217056451612903,9.458968253968253,10.651190476190475,12.962063492063493,14.13547619047619,15.321155378486056,18.066972111553785,19.768774703557312,12.240119047619048,18.482103174603175,17.516428571428573,17.8228,22.90206349206349,24.84496031746032,25.61876984126984,28.86253968253968,33.988764940239044,39.94665338645419,46.849444444444444,37.060553359683794,51.12900793650794,60.73187250996016,71.81
A,Agilent Technologies,23,Health Care,42.612698412698414,20.42959677419355,14.023928571428572,12.37,16.427063492063493,16.537261904761905,20.861752988047808,23.282390438247013,19.55699604743083,14.185079365079364,21.095515873015874,26.843650793650795,26.021639999999998,30.781944444444445,37.7193253968254,37.13579365079365,41.121071428571426,56.837171314741035,64.90215139442232,73.33511904761905,91.02059288537549,143.26376984126983,132.41446215139442,154.01399999999998
APD,Air Products and Chemicals,38,Materials,18.035674603174602,23.543306451612903,26.43075396825397,25.719682539682537,30.771190476190476,35.73833333333333,40.55290836653387,53.2008764940239,53.292332015810274,44.7425,52.07238095238095,60.31480158730159,60.00368,71.8090873015873,95.16305555555556,109.88230158730158,113.86313492063492,128.98948207171316,145.9767729083665,191.79619047619047,242.08533596837944,273.3442063492064,253.56657370517928,309.836
AKAM,Akamai,16,Information Technology,114.2577380952381,9.826370967741935,2.235079365079365,4.69718253968254,14.136666666666667,14.369444444444444,36.843784860557776,43.12848605577689,26.132371541501975,19.874087301587302,40.54988095238095,31.93297619047619,35.200720000000004,43.61642857142857,57.84654761904762,68.47218253968255,55.177063492063496,55.37462151394423,71.22609561752988,79.99845238095239,102.30766798418972,109.82873015873015,98.50832669322709,87.3885
ALK,Alaska Air Group,7,Industrials,6.295396825396826,6.30891129032258,5.774166666666666,5.166428571428572,5.61781746031746,6.9962301587301585,8.313386454183266,6.828804780876494,4.820237154150197,5.31015873015873,10.383134920634921,14.197896825396825,16.42044,27.225873015873017,42.860912698412704,65.62619047619047,66.96206349206349,79.18681274900398,62.050438247011954,62.31503968253968,42.241778656126485,59.80373015873016,47.78501992031873,48.4905
ALB,Albemarle Corporation,7,Materials,7.321666666666666,7.886854838709677,10.310674603174602,10.094285714285714,12.210515873015874,14.12111111111111,20.311633466135458,32.839601593625495,27.6196837944664,23.261190476190475,36.81305555555555,48.144801587301586,50.91912,55.45920634920635,56.5852380952381,48.10452380952381,67.87944444444445,107.08912350597609,93.25768924302788,69.25515873015873,86.05920948616601,193.9063888888889,237.7710358565737,246.21149999999997
ARE,Alexandria Real Estate Equities,6,Real Estate,15.404166666666667,18.67891129032258,21.776468253968254,24.695634920634923,34.475634920634924,43.1590873015873,55.328645418326694,61.59274900398407,57.568577075098815,31.512619047619047,46.62202380952381,51.357658730158725,51.63136,50.688809523809525,59.51357142857143,74.06277777777778,81.7773015873016,101.69796812749003,109.49119521912351,132.13039682539682,149.62007905138339,180.10214285714284,162.12832669322708,153.70999999999998
ALGN,Align Technology,6,Health Care,,7.18593886462882,3.4502380952380953,10.477261904761905,16.51988095238095,7.31904761904762,9.091792828685259,20.802828685258966,10.948616600790514,11.911825396825398,17.600357142857142,21.118928571428572,30.0888,40.84813492063492,53.820238095238096,59.993968253968255,81.4552380952381,158.97418326693227,294.49426294820717,249.3870634920635,305.7196837944664,617.520753968254,311.99617529880476,242.14299999999997
ALLE,Allegion,10,Industrials,,,,,,,,,,,,,,40.00366666666666,47.57857142857143,56.30992063492064,61.51920634920635,73.54418326693227,79.10725099601594,96.81757936507935,103.42604743083004,127.75988095238095,106.46346613545818,111.697
LNT,Alliant Energy,7,Utilities,5.682460317460317,6.308064516129033,5.23186507936508,4.833809523809523,6.554563492063492,7.33452380952381,9.460796812749003,11.438764940239045,9.965494071146246,8.074087301587301,11.133333333333333,13.466150793650792,15.61468,18.43781746031746,21.962619047619047,24.08238095238095,30.033690476190475,34.58681274900399,36.45270916334661,44.248849206349206,48.30529644268775,53.01472222222222,57.09470119521912,54.258500000000005
ALL,Allstate,28,Financials,16.290277777777778,22.234153225806452,22.264484126984126,22.73404761904762,29.542142857142856,35.94253968253968,37.9301593625498,39.41346613545817,29.962094861660077,18.926309523809525,23.0975,22.26373015873016,28.24024,40.33376984126984,49.35349206349206,55.75043650793651,58.09531746031746,77.59490039840637,84.76414342629482,91.80956349206349,92.7098418972332,116.93333333333334,125.2519920318725,132.305
GOOGL,Alphabet Inc. (Class A),9,Communication Services,,,,,3.798510638297872,6.951031746031746,10.289442231075698,13.482470119521912,11.63296442687747,11.003571428571428,13.403769841269842,14.238531746031747,16.08656,22.128174603174603,28.40595238095238,30.999444444444443,38.160357142857144,46.98828685258964,56.10215139442231,59.56079365079365,73.9495256916996,124.22511904761905,114.7601593625498,93.0405
GOOG,Alphabet Inc. (Class C),17,Communication Services,,,,,3.780744680851064,6.917936507936508,10.241354581673306,13.418047808764939,11.577628458498022,10.95095238095238,13.340476190476192,14.170992063492063,16.01028,22.023214285714285,27.99047619047619,30.100119047619046,37.174325396825395,46.089003984063744,55.661035856573704,59.419642857142854,74.0703162055336,125.53083333333333,115.19374501992033,94.01599999999999
MO,Altria,66,Consumer Staples,1.7874603174603174,3.224274193548387,3.411388888888889,3.151150793650794,4.200119047619048,5.7655158730158735,6.78402390438247,8.486254980079682,8.519130434782609,7.765436507936508,10.585119047619047,13.514126984126984,17.39716,20.1365873015873,25.15361111111111,33.56880952380953,41.381547619047616,46.80617529880478,42.07167330677291,36.36654761904762,33.07308300395257,40.80373015873016,44.63135458167331,44.194
AMZN,Amazon,18,Consumer Discretionary,2.3267063492063493,0.6100806451612903,0.8245238095238095,1.8870238095238097,2.1784126984126986,1.9952777777777777,1.795418326693227,3.361195219123506,3.4939525691699607,4.3643253968253966,6.957103174603175,9.833611111111113,11.01492,14.901666666666666,16.627698412698415,23.906904761904762,34.97611111111111,48.40828685258964,82.08621513944223,89.45948412698414,134.04233201581027,167.1934126984127,126.09884462151395,94.2235
AMCR,Amcor,4,Materials,,,,,,,,,,,,,5.306455696202532,6.660793650793651,6.891309523809523,7.338928571428572,8.194246031746033,9.09820717131474,8.444701195219123,8.896230158730159,9.220355731225297,10.970277777777778,11.615537848605578,11.855
AMD,AMD,6,Information Technology,29.05515873015873,19.90399193548387,10.335833333333333,9.418730158730158,15.494126984126984,19.912380952380953,28.110637450199206,13.598446215139443,5.348656126482213,4.4263095238095245,7.931388888888889,7.139404761904761,5.07108,3.3785714285714286,3.662063492063492,2.331746031746032,5.2549206349206345,12.411673306772908,17.214501992031874,29.941071428571426,65.6197233201581,101.14587301587301,90.88764940239044,70.26599999999999
AEE,Ameren,32,Utilities,13.009404761904761,15.441895161290324,16.76142857142857,18.020992063492063,20.65015873015873,24.787460317460315,25.624023904382472,27.143386454183265,22.45505928853755,15.172539682539682,16.72404761904762,19.495873015873016,22.379759999999997,25.307103174603174,30.545714285714286,33.22198412698413,40.48238095238095,48.733665338645416,53.40529880478088,67.04884920634922,72.02833992094861,78.48916666666666,86.92330677290836,87.19550000000001
AAL,American Airlines Group,8,Industrials,,,,,,27.404477611940298,41.78470119521913,33.62944223107569,7.298814229249012,3.610238095238095,8.1425,7.032698412698413,9.895040000000002,17.146349206349207,36.75579365079365,42.940198412698415,36.71634920634921,46.101195219123504,41.898247011952186,30.5718253968254,15.271620553359684,20.343214285714286,15.2699203187251,15.671000000000001
AEP,American Electric Power,66,Utilities,13.352539682539684,18.02201612903226,15.216349206349205,12.257738095238095,15.443452380952381,17.972539682539683,19.011195219123508,24.910876494023906,21.65083003952569,17.463373015873017,21.462857142857143,24.11547619047619,27.81236,32.634206349206345,39.088253968253966,43.41936507936508,50.92690476190476,57.70924302788845,59.91195219123506,77.10349206349207,78.53363636363636,79.74587301587302,92.71752988047808,93.46000000000001
AXP,American Express,47,Financials,34.27269841269841,24.908911290322582,23.97484126984127,27.302658730158733,34.21563492063492,36.73789682539683,41.94247011952191,46.1307171314741,29.910592885375493,22.01876984126984,34.67198412698413,40.176785714285714,48.105959999999996,63.427817460317456,79.00809523809524,69.4543253968254,57.84988095238095,78.12470119521912,94.55290836653386,110.53765873015874,100.77166007905139,153.80246031746032,159.69828685258963,155.2365
AIG,American International Group,43,Financials,1017.1601587301586,1023.4683870967742,835.6560714285714,727.2117063492063,877.9899603174604,781.3143253968253,840.7723505976095,866.9305179282868,362.61332015810274,19.183769841269843,24.78472222222222,24.05857142857143,25.20732,35.910833333333336,42.82452380952381,48.16325396825397,47.87976190476191,53.313187250996016,45.81597609561753,45.09638888888889,31.421739130434784,48.28484126984127,56.083904382470116,62.9455
AMT,American Tower,16,Real Estate,33.045992063492065,16.113145161290323,2.9072619047619046,6.82234126984127,11.557738095238095,17.190436507936507,26.988964143426294,33.22709163346614,30.36498023715415,27.049960317460318,37.20765873015873,43.163650793650795,55.98428,63.49373015873016,76.18162698412699,82.03488095238096,92.41952380952381,115.93537848605577,132.50557768924304,188.84547619047618,228.07881422924902,249.92126984126986,235.89123505976093,221.623
AWK,American Water Works,7,Utilities,,,,,,,,,14.444431818181817,14.103650793650793,16.85702380952381,22.503373015873017,28.329919999999998,33.755992063492066,40.46400793650794,47.05642857142857,64.41551587301586,72.97812749003984,79.40139442231076,106.28777777777778,131.71181818181816,159.85420634920635,149.48083665338646,155.373
AMP,Ameriprise Financial,18,Financials,,,,,,26.825733333333336,32.678446215139445,42.72749003984064,29.201581027667984,20.533492063492062,33.83063492063492,40.555238095238096,42.63,67.76440476190477,96.15039682539683,101.62007936507936,83.27630952380953,121.34892430278884,129.0001593625498,130.77936507936508,145.08628458498023,249.94142857142856,281.2449003984064,329.714
ABC,AmerisourceBergen,22,Health Care,5.782063492063492,10.922217741935484,13.10436507936508,11.410595238095237,10.872896825396825,13.255476190476191,17.242828685258964,19.16434262948207,15.761383399209487,16.20968253968254,24.902460317460317,32.26424603174603,32.82836,48.88587301587302,65.10277777777779,91.86134920634922,74.45964285714287,78.39900398406375,82.53378486055777,78.17222222222223,91.35110671936759,114.85623015873016,147.68617529880478,163.74349999999998
AME,Ametek,10,Industrials,2.6028571428571428,3.651975806451613,4.470952380952381,5.20781746031746,7.574126984126984,10.588968253968254,11.936334661354582,15.736533864541832,17.17814229249012,13.548650793650795,18.459603174603174,25.30095238095238,31.343,41.32654761904762,48.744007936507934,50.66087301587302,45.54055555555555,58.833944223107565,72.1493625498008,84.10539682539682,94.18754940711463,130.01353174603176,126.33860557768925,142.6385
AMGN,Amgen,31,Health Care,48.646904761904764,46.30278225806452,36.70059523809523,45.65702380952381,43.765952380952385,51.97551587301587,52.491394422310755,43.04051792828685,38.00055335968379,40.80452380952381,41.42626984126984,41.75412698412699,57.95644,80.35777777777778,103.26869047619047,126.94186507936507,128.1757142857143,144.1003984063745,163.34517928286851,175.11948412698413,212.80675889328063,218.80019841269842,240.7688844621514,261.5165
APH,Amphenol,15,Information Technology,2.92031746031746,2.3441129032258066,2.2874206349206347,2.7717857142857145,3.5907936507936506,4.534325396825397,6.3662151394422315,8.254701195219123,8.746798418972332,7.620039682539683,10.167857142857143,11.234880952380953,13.033280000000001,17.513214285714284,22.232539682539684,25.533809523809527,27.728531746031745,36.45326693227092,42.36601593625498,45.71964285714286,50.24501976284585,70.4634126984127,73.13354581673308,78.65549999999999
ADI,Analog Devices,24,Information Technology,45.7220634920635,28.427298387096776,20.918055555555558,23.26952380952381,27.682539682539684,23.795119047619046,22.375657370517928,23.879442231075696,18.903557312252964,17.54702380952381,22.612976190476193,27.771309523809524,30.27224,37.359047619047615,42.419920634920636,50.60075396825397,52.60511904761905,73.13745019920319,83.94828685258965,101.31753968253969,111.59426877470355,159.73436507936506,156.12422310756972,166.599
ANSS,Ansys,6,Information Technology,2.76234126984127,4.155564516129032,5.529801587301587,7.758531746031746,11.703373015873016,18.123492063492062,23.629282868525895,30.2396812749004,37.783596837944664,32.190555555555555,44.40384920634921,53.846468253968254,65.09136,80.1863888888889,78.37833333333333,89.44694444444445,90.02349206349206,121.36486055776894,165.21808764940238,202.13789682539684,293.38343873517783,361.7831746031746,269.6693625498008,252.8005
AON,Aon,27,Financials,22.575793650793653,25.854314516129033,20.183928571428574,16.8856746031746,20.073650793650796,22.319682539682542,29.74836653386454,35.08075697211156,37.314940711462455,33.761587301587305,34.92511904761904,42.62706349206349,45.016400000000004,61.11813492063492,79.20531746031746,89.3684126984127,98.71222222222222,124.11972111553784,139.62410358565737,178.35492063492063,194.53071146245057,255.59103174603175,286.7769721115538,314.3595
APA,APA Corporation,26,Energy,17.516626984126983,18.12258064516129,20.110833333333336,25.554404761904763,35.515436507936506,50.486785714285716,53.491593625498005,65.9330278884462,87.22154150197628,66.78988095238095,82.31869047619048,91.71142857142857,74.32196,69.28246031746032,72.55432539682539,46.67325396825397,46.98904761904762,42.770199203187246,37.377370517928284,25.842976190476193,14.224545454545455,20.637023809523807,38.96063745019921,44.059000000000005
AAPL,Apple Inc.,41,Information Technology,0.6947619047619048,0.3073790322580645,0.29099206349206347,0.28194444444444444,0.5397619047619048,1.4185317460317461,2.152589641434263,3.8989641434262947,4.315652173913043,4.462539682539682,7.898611111111111,11.064444444444444,17.55272,14.69138888888889,20.56126984126984,27.208095238095236,24.201031746031745,35.48836653386454,45.24306772908366,50.625079365079365,93.77332015810278,139.58757936507936,154.14649402390438,135.571
AMAT,Applied Materials,28,Information Technology,27.64392857142857,16.4983064516129,14.023412698412699,13.01654761904762,13.90345238095238,12.632579365079364,13.194581673306773,14.791354581673307,12.824940711462451,9.281626984126984,10.054801587301586,10.697341269841269,9.61648,13.228928571428572,18.516547619047618,17.660873015873015,22.767301587301585,41.47581673306773,43.642749003984065,44.444206349206354,60.32134387351778,129.5636507936508,108.92302788844621,108.085
APTV,Aptiv,11,Consumer Discretionary,,,,,,,,,,,,16.162666666666667,23.0652,38.84753968253968,52.70214285714286,63.75972222222222,54.975833333333334,72.27944223107569,85.73569721115538,82.27742063492063,85.67395256916996,153.76325396825396,106.39286852589642,102.647
ACGL,Arch Capital Group,1,Financials,1.685515873015873,1.9696370967741936,3.1034126984126984,3.8328174603174605,4.408333333333334,4.971388888888889,6.682549800796813,7.754621513944223,7.59600790513834,6.914285714285715,8.751984126984127,11.034404761904762,13.244639999999999,17.64309523809524,18.74936507936508,22.34563492063492,24.77107142857143,31.633306772908366,28.404063745019922,36.445079365079366,32.83,39.34718253968254,48.46633466135458,63.499
ANET,Arista Networks,5,Information Technology,,,,,,,,,,,,,,,18.451241379310343,17.734960317460317,18.54095238095238,39.8391235059761,64.55139442231075,61.759206349206345,56.12928853754941,92.57277777777777,118.63326693227091,117.78099999999999
AJG,Arthur J. Gallagher & Co.,7,Financials,10.555238095238096,14.575846774193549,15.636031746031746,14.164960317460318,16.790873015873018,15.922777777777778,15.948964143426295,16.91764940239044,15.642885375494071,14.336309523809524,17.990357142857142,21.510158730158732,27.13652,34.21960317460317,38.04555555555555,38.804880952380955,40.876865079365075,52.96063745019921,65.18776892430279,81.00059523809524,96.92339920948616,139.39428571428573,171.0710358565737,193.0205
AIZ,Assurant,16,Financials,,,,,18.783013100436683,26.322936507936507,36.262868525896415,41.92621513944223,40.17047430830039,20.297539682539682,27.7168253968254,29.336984126984127,30.08616,42.03940476190476,55.17166666666667,60.61484126984127,72.75714285714285,87.75490039840638,88.48390438247012,103.33555555555556,111.88158102766799,148.1945238095238,157.7746613545817,127.6865
T,AT&T,40,Communication Services,7.353769841269842,7.0862096774193555,5.209642857142857,4.309722222222222,4.94,5.017142857142857,6.571075697211155,9.290358565737053,8.268893280632412,6.916150793650793,7.831785714285714,9.320238095238095,11.57416,12.935198412698414,13.530753968253968,14.217301587301588,17.728531746031745,18.528685258964142,17.15756972111554,19.031626984126984,18.83438735177866,18.62980158730159,17.913505976095617,19.404500000000002
ATO,Atmos Energy,4,Utilities,8.31468253968254,9.98991935483871,10.493531746031746,11.745357142857143,13.307936507936507,15.14424603174603,16.187051792828683,17.813147410358567,16.343320158102767,17.150515873015873,20.02111111111111,24.027380952380952,25.63244,32.83293650793651,40.319404761904764,46.88559523809524,62.434761904761906,72.84366533864541,79.61,95.73765873015873,94.81877470355732,91.55396825396825,110.01868525896414,113.2335
ADSK,Autodesk,34,Information Technology,7.7,8.611774193548387,7.770833333333333,8.501626984126984,20.72230158730159,37.099920634920636,37.243864541832664,44.65091633466135,32.55695652173913,20.817738095238095,30.404047619047617,36.55694444444445,34.75452,39.150079365079364,53.83,56.123531746031745,61.72519841269841,102.4606374501992,132.06470119521913,158.8931746031746,220.70383399209487,292.88626984126984,206.29179282868526,199.663
AZO,AutoZone,26,Consumer Discretionary,25.094563492063493,42.347338709677416,73.90686507936508,80.91103174603175,83.06924603174603,90.43059523809524,98.36458167330677,125.06019920318725,120.52608695652174,150.38611111111112,203.03630952380954,293.6036507936508,370.00384,415.1742857142857,534.7135714285714,696.8779761904761,768.8588492063492,640.4347808764941,724.4301195219123,1058.3318253968255,1108.8463636363635,1542.3093253968254,2152.8414741035854,2392.3720000000003
AVB,AvalonBay Communities,16,Real Estate,16.984166666666667,20.160967741935483,20.074404761904763,20.83595238095238,29.769007936507936,42.1459126984127,62.49988047808765,68.56318725099602,51.953952569169964,39.13531746031746,65.86119047619047,85.79305555555555,98.00775999999999,95.10515873015873,108.14948412698413,134.3818253968254,141.8622619047619,153.34988047808764,147.6266533864542,181.09706349206348,153.4680632411067,199.86630952380952,203.35191235059762,168.8545
AVY,Avery Dennison,36,Materials,33.30873015873016,30.42975806451613,36.375,33.182539682539684,37.88630952380952,35.66880952380953,39.8102390438247,41.254143426294824,30.491185770750988,21.57880952380952,27.08484126984127,26.45047619047619,24.25932,35.63793650793651,41.16059523809523,50.78492063492063,63.79801587301588,82.24884462151394,97.25713147410359,106.5220634920635,118.68474308300397,197.3451984126984,176.79290836653385,188.14600000000002
BKR,Baker Hughes,6,Energy,15.684761904761904,17.657500000000002,16.028373015873015,15.513968253968255,19.625198412698413,26.332182539682538,38.112509960159365,41.311912350597616,34.37470355731225,19.856150793650794,25.01988095238095,34.77428571428572,24.54016,27.14952380952381,36.11099206349206,33.245595238095234,28.447896825396825,31.652908366533865,26.523187250996013,21.164603174603172,15.220197628458498,22.159365079365077,28.604302788844624,30.419999999999998
BALL,Ball Corporation,39,Materials,1.7274603174603174,2.6518145161290323,4.699246031746032,5.533293650793651,7.595396825396826,8.47325396825397,8.710438247011952,10.819880478087649,9.635098814229249,10.042738095238095,12.715476190476192,16.137857142857143,18.85512,21.09166666666667,27.955039682539685,32.358690476190475,34.60464285714286,37.52227091633466,39.42282868525896,62.31880952380953,74.78114624505929,87.09904761904761,69.09752988047809,56.07899999999999
BAC,Bank of America,47,Financials,13.68,16.825443548387096,20.59984126984127,23.847658730158727,28.03107142857143,30.717301587301588,35.475378486055774,36.932908366533866,24.260355731225296,10.284642857142858,12.263730158730159,8.39579365079365,7.11344,11.371507936507935,13.870119047619047,14.219206349206349,13.426388888888889,21.82956175298805,26.641593625498007,27.09202380952381,24.69703557312253,38.8434126984127,36.46896414342629,34.2215
BBWI,"Bath & Body Works, Inc.",40,Consumer Discretionary,5.948571428571428,4.3885887096774185,5.042420634920635,4.568373015873016,6.421825396825397,7.37515873015873,8.942629482071712,8.593705179282868,5.736047430830039,5.011388888888889,10.580079365079364,17.300753968253968,23.763240000000003,29.81952380952381,36.37285714285715,54.2286507936508,48.20412698412699,32.79486055776893,25.226573705179284,17.003452380952382,18.55901185770751,56.02456349206349,41.69657370517928,45.331
BAX,Baxter International,51,Health Care,12.870357142857143,17.807782258064517,16.047579365079365,10.079920634920635,12.180515873015873,14.680238095238096,16.364860557768925,22.295577689243025,25.35177865612648,22.700119047619047,21.419126984126983,23.914087301587305,26.18668,32.16420634920635,34.49325396825397,33.79365079365079,40.24353174603175,53.7888047808765,65.4291235059761,75.43742063492063,80.46351778656127,78.14583333333333,66.22274900398406,45.954
BDX,Becton Dickinson,51,Health Care,19.57313492063492,24.050161290322578,23.135158730158732,25.803452380952383,35.92083333333333,40.784126984126985,48.42565737051793,58.41673306772908,61.549328063241106,53.42031746031746,59.17738095238096,64.4490873015873,62.8014,82.54198412698412,102.43515873015873,125.73428571428572,145.61,175.95278884462152,215.8288844621514,229.2473412698413,232.46474308300395,236.1861507936508,246.10717131474104,252.3255
WRB,Berkley,4,Financials,1.574484126984127,2.8076612903225806,3.4869444444444446,4.614642857142858,6.090714285714285,8.190753968253969,11.833585657370518,10.545099601593627,8.88592885375494,8.176666666666666,9.163730158730159,10.837579365079366,13.16276,15.420833333333334,16.769126984126984,19.933333333333334,21.74436507936508,26.95374501992032,30.011035856573706,39.51916666666666,39.315533596837945,48.24043650793651,65.38629482071713,71.3305
BRK-B,Berkshire Hathaway,13,Financials,37.41579365079365,45.75975806451613,48.15746031746032,48.9147619047619,58.79138888888889,57.1611507936508,62.834741035856574,77.48270916334661,81.33885375494071,61.517023809523806,78.50484126984128,77.58345238095238,83.39396,110.17924603174602,130.42416666666665,140.15103174603175,144.0326984126984,175.08964143426294,203.52780876494026,208.07242063492063,205.01023715415022,272.7105555555556,304.48920318725095,312.786
BBY,Best Buy,24,Consumer Discretionary,16.85972222222222,15.36241935483871,15.148650793650793,17.59968253968254,22.381944444444443,26.715714285714284,33.633027888446215,31.052868525896415,25.37913043478261,24.23734126984127,26.517103174603175,19.988690476190474,13.95536,21.783690476190475,22.840119047619048,27.440119047619046,28.430793650793653,45.08856573705179,62.01258964143426,61.60650793650794,84.17229249011858,105.94876984126984,79.22657370517928,82.954
BIO,Bio-Rad,3,Health Care,12.979484126984127,23.792298387096775,39.74662698412698,48.0377380952381,55.22519841269841,55.50888888888889,68.93800796812748,82.95414342629482,87.12541501976284,78.5781746031746,94.70884920634921,108.02003968253968,102.72184,118.66821428571428,120.87650793650793,137.52603174603175,149.1690476190476,219.57577689243027,277.532828685259,312.564126984127,472.18162055335966,675.8090476190476,505.98410358565735,450.73400000000004
TECH,Bio-Techne,2,Health Care,9.392857142857142,6.409072580645161,6.318690476190476,6.218809523809524,8.330714285714286,9.988769841269841,11.538047808764942,12.83386454183267,15.006640316205534,13.038373015873017,13.574007936507936,16.068492063492062,15.70608,17.09968253968254,21.168571428571425,22.79484126984127,24.3015873015873,27.75195219123506,39.029322709163345,48.78063492063492,61.3497233201581,109.79436507936508,90.3307171314741,81.76599999999999
BIIB,Biogen,20,Health Care,44.2697619047619,56.99572580645162,47.46861111111111,34.43119047619047,57.24805555555556,43.27126984126984,45.98804780876494,56.589163346613546,55.42735177865613,48.94313492063492,56.35785714285714,91.9759126984127,136.51512,215.28103174603174,317.98309523809525,352.5855555555556,280.19896825396825,291.0549402390438,313.6443426294821,263.5519047619048,285.3138339920948,289.5568650793651,229.25422310756971,284.27799999999996
BLK,BlackRock,12,Financials,19.419642857142858,24.661653225806454,26.90813492063492,29.658214285714287,42.7620634920635,55.864999999999995,92.22525896414344,114.3924701195219,128.07407114624507,121.45154761904762,129.50194444444446,131.71543650793652,140.79944,211.06988095238094,255.84996031746033,284.83769841269844,294.9174603174603,365.99964143426297,434.7907569721115,407.27119047619044,522.5033992094861,808.938492063492,672.5848605577689,739.269
